pergunta,resposta,categoria
"Qual é a capital de Portugal?","Lisboa","Geografia"
"Quantos continentes existem no mundo?","7","Geografia"
"Quem pintou a Mona Lisa?","Leonardo da Vinci","Arte"
"Qual é o maior oceano do mundo?","Oceano Pacífico","Geografia"
"Em que ano foi descoberto o Brasil?","1500","História"
"Qual é o planeta mais próximo do Sol?","Mercúrio","Ciência"
"Quantos lados tem um hexágono?","6","Matemática"
"Qual é o maior mamífero do mundo?","Baleia azul","Natureza"
"Quem escreveu 'Os Lusíadas'?","Luís de Camões","Literatura"
"Qual é a fórmula química da água?","H2O","Ciência"

